CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,X,Y
01,Aguascalientes,AS,21.77111,-102.35861
02,Baja California,BC,30.73563,-115.99649
03,Baja California Sur,BS,24.07250,-110.36222
04,Campeche,CC,19.8454,-90.5237
05,Coahuila,CL,26.9103,-101.42226
06,Colima,CM,19.14736,-103.72244
07,Chiapas,CS,15.34004,-92.67422
08,Chihuahua,CH,28.15096,-106.21278
09,Ciudad de México,DF,19.39504,-99.18701
10,Durango,DG,24.05718,-104.53320
11,Guanajuato,GT,21.07784,-101.25289
12,Guerrero,GR,17.36164,-99.46573
13,Hidalgo,HG,20.79916,-103.47140
14,Jalisco,JC,20.67663,-103.34616
15,México,MC,19.20076,-99.56182
16,Michoacán,MN,19.69950,-101.26428
17,Morelos,MS,18.94315,-99.30873
18,Nayarit,NT,21.69107,-105.08841
19,Nuevo León,NL,25.67693,-100.31370
20,Oaxaca,OC,17.11867,-96.76070
21,Puebla,PL,18.95652,-98.18664
22,Querétaro,QT,20.72682,-100.45296
23,Quintana Roo,QR,20.50610,-86.94434
24,San Luis Potosí,SP,22.24988,-101.23564
25,Sinaloa,SL,23.16150,-106.26450
26,Sonora,SR,29.08919,-110.96133
27,Tabasco,TC,18.10037,-93.32448
28,Tamaulipas,TS,22.24632,-97.83534
29,Tlaxcala,TL,19.32226,-98.23010
30,Veracruz,VZ,19.50654,-96.87906
31,Yucatán,YN,21.04023,-89.56206
32,Zacatecas,ZS,22.77093,-102.58325